Model,MSO58
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250
Zero Index,1262.00000000,,Zero Index,1262.00000000,,Zero Index,1262.00000000,,Zero Index,1262.00000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,-1.000000,,yPosition,-1.800000,,yPosition,-1.820000,,,

TIME,CH1,CH2,CH3,,TIME,MATH1
-1.75040000e-06,-1.02109375e+01,1.17671875e+03,-8.90625000e-01,,-1.75040000e-06,-3.22016247e-04
-1.74880000e-06,-1.01375000e+01,1.17773438e+03,-9.21875000e-01,,-1.74880000e-06,-3.23723245e-04
-1.74720000e-06,-1.00453125e+01,1.18062500e+03,-8.43750000e-01,,-1.74720000e-06,-3.25388741e-04
-1.74560000e-06,-1.00875000e+01,1.17921875e+03,-1.06250000e+00,,-1.74560000e-06,-3.27187998e-04
-1.74400000e-06,-1.00750000e+01,1.18250000e+03,-9.06250000e-01,,-1.74400000e-06,-3.29047645e-04
-1.74240000e-06,-1.01453125e+01,1.18070312e+03,-1.18750000e+00,,-1.74240000e-06,-3.31026618e-04
-1.74080000e-06,-1.00484375e+01,1.17648438e+03,-1.43750000e+00,,-1.74080000e-06,-3.33501230e-04
-1.73920000e-06,-1.01375000e+01,1.17554688e+03,-1.20312500e+00,,-1.73920000e-06,-3.35985649e-04
-1.73760000e-06,-1.00031250e+01,1.17726562e+03,-1.20312500e+00,,-1.73760000e-06,-3.38250218e-04
-1.73600000e-06,-1.00718750e+01,1.17687500e+03,-1.62500000e+00,,-1.73600000e-06,-3.40913277e-04
-1.73440000e-06,-1.01296875e+01,1.17820312e+03,-1.56250000e-01,,-1.73440000e-06,-3.42590502e-04
-1.73280000e-06,-1.01109375e+01,1.18140625e+03,-1.40625000e+00,,-1.73280000e-06,-3.44066852e-04
-1.73120000e-06,-1.01218750e+01,1.17742188e+03,-1.29687500e+00,,-1.73120000e-06,-3.46617511e-04
-1.72960000e-06,-1.00328125e+01,1.17640625e+03,-4.68750000e-01,,-1.72960000e-06,-3.48280242e-04
-1.72800000e-06,-1.00437500e+01,1.17984375e+03,-1.65625000e+00,,-1.72800000e-06,-3.50284681e-04
-1.72640000e-06,-1.00593750e+01,1.18000000e+03,-9.06250000e-01,,-1.72640000e-06,-3.52703471e-04
-1.72480000e-06,-1.00953125e+01,1.17679688e+03,-4.84375000e-01,,-1.72480000e-06,-3.54014977e-04
-1.72320000e-06,-1.00828125e+01,1.17976562e+03,-1.23437500e+00,,-1.72320000e-06,-3.55636002e-04
-1.72160000e-06,-1.01000000e+01,1.18078125e+03,-1.40625000e+00,,-1.72160000e-06,-3.58129386e-04
-1.72000000e-06,-1.01421875e+01,1.18070312e+03,-8.59375000e-01,,-1.72000000e-06,-3.60269507e-04
-1.71840000e-06,-1.01156250e+01,1.17734375e+03,-8.28125000e-01,,-1.71840000e-06,-3.61861225e-04
-1.71680000e-06,-1.00890625e+01,1.18039062e+03,-1.62500000e+00,,-1.71680000e-06,-3.64175736e-04
-1.71520000e-06,-1.00109375e+01,1.17773438e+03,-1.50000000e+00,,-1.71520000e-06,-3.67123517e-04
-1.71360000e-06,-1.01015625e+01,1.17976562e+03,-1.85937500e+00,,-1.71360000e-06,-3.70291702e-04
